cpf;nome;cargo;salario;e-mails;ativo
100.000.000-01;Antonio;Engenheiro;4000;"antonio@gmail.com, antonio@hotmail.com";Sim
200.000.000-02;Estevan;Programador;2500;estevan@gmail.com;Nao
300.000.000-03;Natasha;Analista;3000;natasha@gmail.com;Sim
400.000.000-04;Peter;Programador;2500;peter@gmail.com;Sim
500.000.000-05;Carol;Engenheiro;4000;"carol@gmail.com, carol@hotmail.com";Sim
600.000.000-06;Aldebaran;Contador;5000;aldebaran@gmail.com;Sim
700.000.000-07;Renata;Administrador;2500;"renata@bol.com.br, renata@gmail.com";Sim
800.000.000-08;Antonio;Administrador;2500;antonio2@gmail.com;Sim
900.000.000-09;Carolina;Analista;3000;carolina@gmail.com;Sim
110.000.000-10;Jonas;Programador;2500;"jonas@gmail.com, jonas@bol.com.br";Sim
